Water System Summary,,,,,,,,,,
Report Date: 04/30/2026 12:21:41,,,,,,,,,,
Report Filters: Submission Year is 2026 and Quarter is 1 and EPA Region in (07) and Primacy Agency in (NE) and Owner Type in (S) and Activity Status is A,,,,,,,,,,
,,,,,,,,,,
PWS ID,PWS Name,EPA Region Name,Primacy Agency,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
NE3118707,NEBRASKA CENTER FOR WOMEN,Region 7,Nebraska,Community water system,400,YORK,York,9,38,17
NE3150285,CHEYENNE SRA - NG & PC,Region 7,Nebraska,Transient non-community system,25,GRAND ISLAND,Hall,3,7,7
NE3150300,MORMON ISLAND SRA - NG & PC,Region 7,Nebraska,Transient non-community system,200,DONIPHAN,Hall,7,5,11
NE3150141,VICTORIA SPRINGS SRA - NG & PC,Region 7,Nebraska,Transient non-community system,725,ANSELMO,Custer,10,11,15
NE3120545,CALAMUS SRA - NG & PC,Region 7,Nebraska,Transient non-community system,25,BURWELL,Garfield,25,4,12
NE3121441,JOHNSON LAKE SRA-NG & PC (NON SEASONAL),Region 7,Nebraska,Transient non-community system,25,ELWOOD,Gosper,3,0,3
NE3150278,JOHNSON LAKE SRA - NG & PC,Region 7,Nebraska,Transient non-community system,25,ELWOOD,Gosper,11,5,12
NE3150690,PIBEL LAKE RECREATION AREA,Region 7,Nebraska,Transient non-community system,200,BARTLETT,Wheeler,4,2,11
NE3150361,ALEXANDRIA SRA - NG & PC,Region 7,Nebraska,Transient non-community system,25,FAIRBURY,Jefferson,10,10,6
NE3120832,ROCK CREEK STATION SRA - NG & PC,Region 7,Nebraska,Transient non-community system,25,FAIRBURY,Jefferson,6,3,10
NE3120833,ROCK CREEK STATION SHP - NG & PC,Region 7,Nebraska,Transient non-community system,25,FAIRBURY,Jefferson,4,0,5
NE3120390,STAGECOACH LAKE SRA - NG & PC,Region 7,Nebraska,Transient non-community system,30,HICKMAN,Lancaster,4,3,5
NE3120391,WAGON TRAIN LAKE SRA - NG & PC,Region 7,Nebraska,Transient non-community system,26,LINCOLN,Lancaster,9,3,6
NE3120392,BLUESTEM SRA - NG & PC,Region 7,Nebraska,Transient non-community system,26,LINCOLN,Lancaster,12,5,5
NE3120393,OLIVE CREEK LAKE SRA - NG & PC,Region 7,Nebraska,Transient non-community system,26,LINCOLN,Lancaster,4,4,6
NE3120389,CONESTOGA LAKE SRA - NG & PC,Region 7,Nebraska,Transient non-community system,26,LINCOLN,Lancaster,7,4,5
NE3120841,BOWRING RANCH SHP,Region 7,Nebraska,Transient non-community system,100,MERRIMAN,Cherry,3,3,10
NE3120395,KELLER PARK SRA - NG & PC,Region 7,Nebraska,Transient non-community system,25,BASSETT,Brown,5,4,9
NE3120563,UNL-EASTERN NEBR RESRCH & EXTENSION CNTR,Region 7,Nebraska,Non-Transient non-community system,200,ITHACA,Saunders,38,55,13
NE3150672,FORT HARTSUFF SHP - NG & PC,Region 7,Nebraska,Transient non-community system,45,BURWELL,Valley,5,6,19
NE3150110,COTTONWOOD LAKE SRA - NG & PC,Region 7,Nebraska,Transient non-community system,100,MERRIMAN,Cherry,5,7,10
NE3120619,ASHFALL FOSSIL BEDS SHP - NG & PC,Region 7,Nebraska,Transient non-community system,85,ROYAL,Antelope,4,8,9
NE3150106,MERRITT RESERVOIR SRA - NG & PC,Region 7,Nebraska,Transient non-community system,100,VALENTINE,Cherry,30,17,24
NE3190001,KEARNEY EASTBOUND REST AREA,Region 7,Nebraska,Transient non-community system,25,KEARNEY,Buffalo,5,10,12
NE3190002,KEARNEY WESTBOUND REST AREA,Region 7,Nebraska,Transient non-community system,25,KEARNEY,Buffalo,6,2,9
NE3150385,NIOBRARA STATE PARK - NG & PC,Region 7,Nebraska,Transient non-community system,25,NIOBRARA,Knox,8,3,11
NE3120286,ASH HOLLOW SHP-NG&P - SEASONAL,Region 7,Nebraska,Transient non-community system,250,LEWELLEN,Garden,2,1,0
NE3150273,ASH HOLLOW SHP - NG & PC NON-SEASONAL,Region 7,Nebraska,Transient non-community system,251,LEWELLEN,Garden,9,5,15
NE3120455,MCCOOK REST AREA,Region 7,Nebraska,Transient non-community system,56,MCCOOK,Red Willow,6,11,6
NE3120082,BOX BUTTE SRA - NG & PC,Region 7,Nebraska,Transient non-community system,25,CRAWFORD,Dawes,10,19,23
NE3121439,OLIVER RESERVOIR REC AREA (NON SEASONAL),Region 7,Nebraska,Transient non-community system,250,POTTER,Kimball,6,0,4
NE3150001,MILITARY DEPT OF NEBRASKA - GREENLIEF,Region 7,Nebraska,Transient non-community system,25,,Clay,11,9,11
NE3150260,RED WILLOW RESERVOIR SRA - NG & PC,Region 7,Nebraska,Transient non-community system,140,MCCOOK,Frontier,21,20,11
NE3121005,WAVERLY EASTBOUND SCALES ON I-80,Region 7,Nebraska,Transient non-community system,30,,Cass,3,4,5
NE3190014,GRAND ISLAND WESTBND REST AREA,Region 7,Nebraska,Transient non-community system,26,GRAND ISLAND,Hall,3,2,14
NE3190016,GRAND ISLAND EASTBND REST AREA,Region 7,Nebraska,Transient non-community system,25,GRAND ISLAND,Hall,3,0,10
NE3190006,PLATTE RIVER EASTBOUND REST AREA,Region 7,Nebraska,Transient non-community system,25,ASHLAND,Cass,3,10,5
