Water System Summary,,,,,,,,,,
Report Date: 04/30/2026 12:22:12,,,,,,,,,,
Report Filters: Submission Year is 2026 and Quarter is 1 and EPA Region in (09) and Primacy Agency in (CA) and Owner Type in (S) and Activity Status is A,,,,,,,,,,
,,,,,,,,,,
PWS ID,PWS Name,EPA Region Name,Primacy Agency,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
CA2810302,CAL FIRE SONOMA-LAKE-NAPA UNIT HQ,Region 9,California,Non-Transient non-community system,65,,Napa,8,1,4
CA3310800,CALIFORNIA REHABILITATION CENTER - NORCO,Region 9,California,Community water system,"4,300",,Riverside,12,35,13
CA3310301,MT SAN JACINTO ST PARK (STONE CREEK),Region 9,California,Transient non-community system,150,,Riverside,3,5,7
CA4010305,MONTANA DE ORO STATE PARK,Region 9,California,Transient non-community system,990,,San Luis Obispo,10,4,11
CA2702226,CDFW ELKHORN SLOUGH ECOLOGICAL RESERVE,Region 9,California,Transient non-community system,650,,Monterey,5,10,10
CA2410301,CDPR-MCCONNELL,Region 9,California,Transient non-community system,286,,Merced,2,8,5
CA2410303,CDPR FOUR RIVERS DISTRICT-BASALT,Region 9,California,Transient non-community system,363,,Merced,3,5,4
CA2410304,CDPR FOUR RIVERS DISTRICT-SAN LUIS CREEK,Region 9,California,Transient non-community system,653,,Merced,3,7,4
CA2410305,CDPR-SECTOR WIDE POTABLE WATER TANKS,Region 9,California,Transient non-community system,172,,Merced,2,4,4
CA1510802,KERN VALLEY STATE PRISON,Region 9,California,Community water system,"5,000",,Kern,6,25,9
CA0405003,SILVER DOLLAR FAIRGROUNDS,Region 9,California,Non-Transient non-community system,195,,Butte,3,8,7
CA1400136,EASTERN SIERRA TRI COUNTY FAIR,Region 9,California,Transient non-community system,104,,Inyo,4,15,12
CA2710850,CORRECTIONAL TRAINING FACILITY - SOLEDAD,Region 9,California,Community water system,"4,269",,Monterey,10,16,13
CA4910306,CSP-ARMSTRONG REDWOODS STATE RESERVE,Region 9,California,Transient non-community system,611,,Sonoma,6,0,3
CA4910308,CSP-WRIGHTS BEACH STATE PARK,Region 9,California,Transient non-community system,502,,Sonoma,5,2,6
CA4910309,CSP-FORT ROSS STATE PARK,Region 9,California,Transient non-community system,"3,501",,Sonoma,5,9,8
CA4910310,CSP-SALT POINT STATE PARK,Region 9,California,Transient non-community system,"3,513",,Sonoma,8,2,3
CA4910313,CSP-GOAT ROCK STATE BEACH,Region 9,California,Transient non-community system,402,,Sonoma,3,3,6
CA1400526,EASTERN SIERRA COLLEGE CENTER - BISHOP,Region 9,California,Non-Transient non-community system,290,,Inyo,4,76,7
CA1805004,CDCR-HIGH DESERT STATE PRISON,Region 9,California,Community water system,"3,857",,Lassen,21,10,28
CA3910302,SAN JOAQUIN FAIR - 2ND DISTRICT,Region 9,California,Transient non-community system,110,,San Joaquin,4,5,7
CA3610130,CALTRANS - MOUNTAIN PASS JPOE CVEF,Region 9,California,Non-Transient non-community system,149,,San Bernardino,4,7,2
CA3600044,CAL TRANS - DESERT OASIS,Region 9,California,Transient non-community system,"2,000",,San Bernardino,3,5,7
CA3601096,CAL TRANS - C.V. KANE,Region 9,California,Transient non-community system,"2,200",,San Bernardino,4,8,6
CA4810800,CALIFORNIA STATE PRISON - SOLANO,Region 9,California,Community water system,"5,100",,Solano,7,4,19
CA3301075,"CALTRANS, CACTUS CITY REST AREA",Region 9,California,Transient non-community system,"6,800",INDIO,Riverside,3,14,8
CA3301082,"CALTRANS, WHITEWATER REST AREA",Region 9,California,Transient non-community system,"6,000",,Riverside,3,33,10
CA3510302,CSP HOLLISTER HILLS SVRA,Region 9,California,Transient non-community system,"1,220",,San Benito,9,10,9
CA2310801,CDF-CHAMBERLAIN CREEK CONSERVATION CAMP,Region 9,California,Non-Transient non-community system,110,,Mendocino,7,9,8
CA1000279,U.C. KEARNEY FIELD STATION,Region 9,California,Non-Transient non-community system,190,,Fresno,5,10,6
CA2310312,CSP-WESTPORT STATE BEACH,Region 9,California,Transient non-community system,370,,Mendocino,3,3,5
CA2310304,CSP-RUSSIAN GULCH STATE PARK,Region 9,California,Transient non-community system,30,,Mendocino,3,17,10
CA2310308,CSP-MENDOCINO HEADLANDS-SEA ARCH,Region 9,California,Transient non-community system,500,,Mendocino,3,1,4
CA2310316,CSP-MENDOCINO HEADLANDS - FORD HOUSE,Region 9,California,Transient non-community system,275,,Mendocino,3,1,4
CA2310317,CSP-PT. CABRILLO LIGHT STATION SHP,Region 9,California,Transient non-community system,430,,Mendocino,4,1,8
CA2310300,CSP-MANCHESTER STATE PARK,Region 9,California,Transient non-community system,420,,Mendocino,3,3,3
CA2310301,CSP-MACKERRICHER STATE PARK,Region 9,California,Transient non-community system,"1,416",,Mendocino,4,13,7
CA2310302,CSP-VAN DAMME STATE PARK,Region 9,California,Transient non-community system,"2,004",,Mendocino,3,9,6
