Water System Summary,,,,,,,,,,
Report Date: 04/30/2026 12:22:12,,,,,,,,,,
Report Filters: Submission Year is 2026 and Quarter is 1 and EPA Region in (09) and Primacy Agency in (CA) and Owner Type in (S) and Activity Status is A,,,,,,,,,,
,,,,,,,,,,
PWS ID,PWS Name,EPA Region Name,Primacy Agency,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
CA1210308,GRIZZLY CREEK SP-STATE PARKS,Region 9,California,Transient non-community system,153,,Humboldt,6,8,9
CA1210312,FOUNDERS GROVE-STATE PARKS,Region 9,California,Transient non-community system,200,,Humboldt,3,7,7
CA1410800,CDF - OWENS VALLEY CONSERVATION CAMP,Region 9,California,Community water system,94,,Inyo,3,7,8
CA1210314,HIDDEN SPRINGS CG-STATE PARKS,Region 9,California,Transient non-community system,350,,Humboldt,6,0,7
CA1210319,SUE-MEG SP-STATE PARKS,Region 9,California,Transient non-community system,"1,000",,Humboldt,4,4,9
CA1210320,GOLD BLUFFS BEACH CG-STATE PARKS,Region 9,California,Transient non-community system,998,,Humboldt,3,9,8
CA1210321,STONE LAGOON-STATE PARKS,Region 9,California,Transient non-community system,402,,Humboldt,3,2,8
CA1210322,PRAIRIE CREEK SP-STATE PARKS,Region 9,California,Transient non-community system,500,,Humboldt,3,0,9
CA1210324,BURLINGTON CG-STATE PARKS,Region 9,California,Transient non-community system,368,,Humboldt,5,4,6
CA2300818,MOSS COVE REST STOP (CALTRANS),Region 9,California,Transient non-community system,400,,Mendocino,3,1,3
CA2300819,IRVINE LODGE REST STOP (CALTRANS),Region 9,California,Transient non-community system,300,,Mendocino,3,3,3
CA2300820,EMPIRE REST STOP (CALTRANS),Region 9,California,Transient non-community system,300,,Mendocino,5,2,4
CA1200754,CALTRANS-TRINIDAD NB,Region 9,California,Transient non-community system,"1,000",,Humboldt,7,6,7
CA0800661,CALTRANS-COLLIER TUNNEL RS,Region 9,California,Transient non-community system,100,,Del Norte,5,64,10
CA5304507,CALTRANS-SALYER SAFETY REST STOP,Region 9,California,Transient non-community system,400,,Trinity,3,1,10
CA0710800,DWR DELTA FIELD DIVISION - BANKS PP,Region 9,California,Non-Transient non-community system,180,,Contra Costa,3,2,13
CA5700556,CALTRANS-DUNIGAN RS,Region 9,California,Transient non-community system,"1,000",,Yolo,7,0,8
CA5102032,DWR-SUTTER MAINTENANCE YARD,Region 9,California,Non-Transient non-community system,38,,Sutter,2,20,13
CA1310801,CENTINELA STATE PRISON,Region 9,California,Community water system,"4,100",,Imperial,3,18,12
CA2410302,CDPR-HATFIELD,Region 9,California,Transient non-community system,352,,Merced,2,9,5
CA3701021,"CALTRANS, BUCKMAN SPRINGS REST AREA",Region 9,California,Transient non-community system,25,,San Diego,4,7,10
CA5000134,DEPARTMENT OF TRANSPORTATION,Region 9,California,Transient non-community system,"4,375",,Stanislaus,3,11,12
CA2400216,CAL TRANS CHP CHOWCHILLA RIVER FACILITY,Region 9,California,Non-Transient non-community system,25,,Merced,2,1,3
CA1300583,"CALTRANS, SAND HILL REST STOP",Region 9,California,Transient non-community system,26,,Imperial,3,10,9
CA1010339,CALIFORNIA STATE UNIVERSITY FRESNO,Region 9,California,Community water system,"41,000",,Fresno,18,2,8
CA2310313,CSP-MENDOCINO WOODLANDS,Region 9,California,Transient non-community system,400,,Mendocino,9,3,12
CA3500557,33RD DISTRICT AGRICULTURAL ASSOCIATION,Region 9,California,Transient non-community system,"9,000",,San Benito,3,12,9
CA5710009,UC - DAVIS,Region 9,California,Community water system,"49,616",,Yolo,32,4,13
CA3410802,RICHARD A. MCGEE TRAINING CENTER,Region 9,California,Non-Transient non-community system,975,,Sacramento,8,5,19
CA2710851,SALINAS VALLEY STATE PRISON,Region 9,California,Community water system,"2,930",,Monterey,9,4,10
CA3710050,"CALTRANS, TECATE CVEF",Region 9,California,Transient non-community system,30,,San Diego,2,2,4
CA3510300,CSP-FREMONT PEAK,Region 9,California,Transient non-community system,250,,San Benito,3,9,6
CA3310802,CHUCKAWALLA VALLEY STATE PRISON,Region 9,California,Community water system,"4,090",,Riverside,11,13,8
CA5401044,CALTRANS VISALIA MAINTENANCE STATION,Region 9,California,Non-Transient non-community system,41,,Tulare,2,17,5
CA2010800,CENTRAL CA WOMENS FACILITY,Region 9,California,Community water system,"2,183",,Madera,8,0,9
CA4300909,LICK OBSERVATORY-UCSC,Region 9,California,Community water system,284,,Santa Clara,4,4,10
CA5401045,CALTRANS PHILLIP S. RAINE SFTY RSRA NB,Region 9,California,Transient non-community system,980,,Tulare,4,16,10
CA5401047,CALTRANS PHILLIP S. RAINE SFTY RSRA SB,Region 9,California,Transient non-community system,"1,000",,Tulare,3,12,9
CA1502029,CAL TRANS BUTTONWILLOW SFTY RSRA,Region 9,California,Transient non-community system,"1,500",,Kern,3,15,5
CA4800781,HUNTER HILL SAFETY ROADSIDE REST AREA,Region 9,California,Transient non-community system,"3,707",,Solano,3,6,5
CA1710800,CDF-KONOCTI CONSERVATION CAMP NO. 27,Region 9,California,Community water system,100,,Lake,3,14,6
CA4910305,CSP-JACK LONDON STATE HISTORIC PARK,Region 9,California,Transient non-community system,130,,Sonoma,4,0,2
CA1310300,PICACHO STATE RESERVATION AREA,Region 9,California,Transient non-community system,155,,Imperial,4,10,8
CA1310301,HEBER DUNES - SVRA,Region 9,California,Transient non-community system,25,,Imperial,3,8,13
CA3710301,OCOTILLO WELLS SVRA - HQ,Region 9,California,Transient non-community system,50,,San Diego,5,3,9
CA3710319,OCOTILLO WELLS - HOLMES CAMP,Region 9,California,Transient non-community system,25,,San Diego,3,2,6
CA2110304,CSP - MARCONI CONFERENCE CENTER,Region 9,California,Transient non-community system,120,,Marin,4,1,9
CA0600050,CALTRANS-MAXWELL RESTSTOPS,Region 9,California,Transient non-community system,"15,000",,Colusa,3,2,7
CA3410302,BRANNAN ISLAND STATE REC. AREA,Region 9,California,Transient non-community system,"1,622",,Sacramento,5,3,11
CA0710300,MOUNT DIABLO STATE PARK,Region 9,California,Transient non-community system,364,,Contra Costa,41,12,7
CA4010830,CALIFORNIA MENS COLONY,Region 9,California,Community water system,"15,000",,San Luis Obispo,9,4,17
CA3710312,CUYAMACA SP - GREEN VALLEY,Region 9,California,Transient non-community system,266,,San Diego,4,3,11
CA3310801,BAUTISTA CC NO. 36,Region 9,California,Community water system,73,,Riverside,5,15,12
CA5410520,NPS-PINEWOOD WATER SYSTEM,Region 9,California,Transient non-community system,"2,900",,Tulare,5,1,3
CA2310800,CDF-PARLIN FORK CONSERVATION CAMP,Region 9,California,Non-Transient non-community system,120,,Mendocino,4,14,7
CA4010832,ATASCADERO STATE HOSPITAL,Region 9,California,Community water system,"4,100",,San Luis Obispo,10,3,13
CA2510800,CAL FIRE-DEVIL'S GARDEN CAMP,Region 9,California,Non-Transient non-community system,120,,Modoc,2,5,12
CA3410032,FOLSOM STATE PRISON,Region 9,California,Community water system,"7,502",,Sacramento,3,3,29
CA2410950,DWR - SAN LUIS DIVISION O&M,Region 9,California,Non-Transient non-community system,150,,Merced,3,26,7
CA5410801,PORTERVILLE DEVELOPMENTAL CENTER,Region 9,California,Community water system,"1,281",,Tulare,13,12,15
CA3610851,CALIFORNIA INSTITUTION FOR WOMEN,Region 9,California,Community water system,"1,195",,San Bernardino,6,5,15
CA0910300,FOLSOM LAKE SRA - PENINSULA CAMPGROUND,Region 9,California,Transient non-community system,751,,El Dorado,6,10,9
CA3410303,PRAIRIE CITY SVRA,Region 9,California,Transient non-community system,32,RANCHO CORDOVA,Sacramento,3,1,9
CA3410301,FOLSOM LAKE SRA - MISSISSIPPI BAR,Region 9,California,Transient non-community system,152,,Sacramento,2,8,11
CA1100257,CALTRANS-WILLOWS RESTSTOP-NB,Region 9,California,Transient non-community system,"7,500",,Glenn,3,5,14
CA1100258,CALTRANS-WILLOWS RESTSTOP-SB,Region 9,California,Transient non-community system,"7,500",,Glenn,5,5,15
CA3702236,PALOMAR OBSERVATORY,Region 9,California,Community water system,"4,416",,San Diego,14,41,15
CA0405002,DWR-MONUMENT HILL RESTROOMS,Region 9,California,Transient non-community system,593,,Butte,2,1,4
CA1810801,CAL FIRE-INTERMOUNTAIN CONSERVATION CAMP,Region 9,California,Non-Transient non-community system,108,,Lassen,3,7,13
CA3410020,CITY OF SACRAMENTO MAIN,Region 9,California,Community water system,"527,979",SACRAMENTO,Sacramento,105,2,83
CA5510852,CAL FIRE BASELINE CONSERVATION CAMP,Region 9,California,Community water system,150,,Tuolumne,4,22,9
CA3400131,ELKHORN I-5 REST AREA,Region 9,California,Transient non-community system,"1,000",,Sacramento,6,0,9
CA5210301,WOODSON BRIDGE S.R.A.,Region 9,California,Transient non-community system,37,,Tehama,3,7,10
CA4500153,SHASTA DISTRICT FAIR,Region 9,California,Transient non-community system,"10,200",,Shasta,3,24,7
CA5210302,WM. B. IDE ADOBE,Region 9,California,Transient non-community system,28,,Tehama,4,6,10
CA1110300,IRVINE FINCH RIVER ACCESS,Region 9,California,Transient non-community system,25,,Glenn,2,4,8
