Water System Summary,,,,,,,,,,
Report Date: 04/30/2026 12:21:10,,,,,,,,,,
Report Filters: Submission Year is 2026 and Quarter is 1 and EPA Region in (06) and Primacy Agency in (TX) and Owner Type in (S) and Activity Status is A,,,,,,,,,,
,,,,,,,,,,
PWS ID,PWS Name,EPA Region Name,Primacy Agency,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
TX2050016,TPWD LAKE CORPUS CHRISTI SP,Region 6,Texas,Transient non-community system,418,,San Patricio,11,2,8
TX0100109,TPWD HILL COUNTRY SNA,Region 6,Texas,Transient non-community system,100,,Bandera,16,0,1
TX2330078,TPWD DEVILS RIVER STATE NATURAL AREA,Region 6,Texas,Transient non-community system,287,,Val Verde,8,0,0
TX1020001,TPWD CADDO LAKE STATE PARK,Region 6,Texas,Transient non-community system,204,,Harrison,10,22,8
TX1220004,TPWD DAVIS MOUNTAIN STATE PARK - CAMPGRO,Region 6,Texas,Transient non-community system,50,,Jeff Davis,5,2,7
TX1210055,TPWD MARTIN DIES STATE PARK WALNUT RIDGE,Region 6,Texas,Transient non-community system,333,,Jasper,6,18,9
TX1210054,TPWD MARTIN DIES STATE PARK HEN HOUSE,Region 6,Texas,Transient non-community system,565,,Jasper,7,10,9
TX1360006,TPWD KICKAPOO CAVERN STATE PARK,Region 6,Texas,Transient non-community system,25,,Kinney,7,55,2
TX2330042,TPWD SEMINOLE CANYON SHP,Region 6,Texas,Transient non-community system,125,,Val Verde,8,5,7
TX2320006,TPWD GARNER STATE PARK,Region 6,Texas,Transient non-community system,"1,232",,Uvalde,13,12,6
TX2120042,TPWD TYLER STATE PARK,Region 6,Texas,Transient non-community system,522,,Smith,17,7,8
TX2130003,TPWD DINOSAUR VALLEY STATE PARK,Region 6,Texas,Transient non-community system,"1,700",,Somervell,9,1,10
TX1500041,TPWD ENCHANTED ROCK SNA,Region 6,Texas,Transient non-community system,885,,Llano,12,3,7
TX1820015,TPWD POSSUM KINGDOM STATE PARK,Region 6,Texas,Transient non-community system,952,,Palo Pinto,14,31,17
TX1870057,TPWD LAKE LIVINGSTON STATE PARK,Region 6,Texas,Transient non-community system,"1,584",,Polk,8,7,7
TX2010052,TPWD MARTIN CREEK STATE PARK,Region 6,Texas,Transient non-community system,303,,Rusk,6,2,7
TX2380008,TPWD MONAHANS SANDHILLS STATE PARK,Region 6,Texas,Transient non-community system,50,,Ward,9,9,8
TX1013438,TPWD SHELDON LAKE STATE PARK BEAUMONT HW,Region 6,Texas,Transient non-community system,50,,Harris,5,1,3
TX1910002,TPWD PALO DURO CANYON STATE PARK,Region 6,Texas,Non-Transient non-community system,"3,964",,Randall,17,33,13
